Jul.Day YYYY/MM/DD Wdy USD/XAU USD/XAG USD/XPT USD/CAD USD/EUR USD/JPY USD/GBP USD/CHF USD/AUD USD/HKD USD/NZD USD/KRW USD/MXN
2454103 2007/01/02 Tue 0.0 0.0 0.0 0.85844 1.3287 0.0084162 1.9736 0.82462 0.79586 0.12853 0.70839 0.00108078 0.092798
2454104 2007/01/03 Wed 642.60 12.9100 1136.00 0.85477 1.3169 0.0083614 1.9499 0.81537 0.79135 0.12842 0.70510 0.00107958 0.092914
2454105 2007/01/04 Thu 628.70 12.6200 1128.00 0.84983 1.3093 0.0083827 1.9442 0.81202 0.78584 0.12839 0.69788 0.00107334 0.092037
2454106 2007/01/05 Fri 609.50 12.7000 1120.00 0.85070 1.3004 0.0084185 1.9304 0.80868 0.77958 0.12835 0.68720 0.00107018 0.091195
2454109 2007/01/08 Mon 609.50 12.2100 1120.00 0.84911 1.3022 0.0084393 1.9383 0.80920 0.78118 0.12829 0.68795 0.00106564 0.091110
2454110 2007/01/09 Tue 609.60 12.3600 1123.00 0.84861 1.2994 0.0083716 1.9398 0.80525 0.77936 0.12824 0.68958 0.00106500 0.090716
2454111 2007/01/10 Wed 608.40 12.4500 1143.00 0.84947 1.2939 0.0083656 1.9334 0.80249 0.77659 0.12822 0.68731 0.00106609 0.090724
2454112 2007/01/11 Thu 612.00 12.4100 1143.00 0.85020 1.2903 0.0082987 1.9439 0.80105 0.78218 0.12824 0.69265 0.00106530 0.091226
2454113 2007/01/12 Fri 619.75 12.4300 1137.00 0.85455 1.2924 0.0083029 1.9568 0.80089 0.78252 0.12822 0.69142 0.00106392 0.091010
2454116 2007/01/15 Mon 627.00 12.8850 0.0 0.85609 1.2932 0.0082998 1.9644 0.80147 0.78358 0.12823 0.69455 0.00106583 0.091430
2454117 2007/01/16 Tue 627.05 12.8400 0.0 0.85135 1.2916 0.0082887 1.9606 0.80112 0.78273 0.12819 0.69479 0.00106930 0.091010
2454118 2007/01/17 Wed 626.50 12.5500 0.0 0.85201 1.2947 0.0082960 1.9721 0.80276 0.78657 0.12813 0.69089 0.00106756 0.091591
2454119 2007/01/18 Thu 635.00 12.8400 0.0 0.85092 1.2941 0.0082420 1.9712 0.79986 0.78812 0.12803 0.69444 0.00106790 0.091559
2454120 2007/01/19 Fri 629.00 12.7200 0.0 0.85324 1.2968 0.0082491 1.9759 0.80128 0.78925 0.12808 0.69539 0.00106826 0.091809
2454123 2007/01/22 Mon 639.00 12.8650 0.0 0.85041 1.2957 0.0082260 1.9771 0.80101 0.78927 0.12824 0.69938 0.00106386 0.091674
2454124 2007/01/23 Tue 642.50 13.0900 0.0 0.84631 1.3025 0.0082279 1.9846 0.80611 0.79206 0.12820 0.70210 0.00106381 0.091232
2454125 2007/01/24 Wed 642.10 13.2000 0.0 0.84574 1.2962 0.0082798 1.9673 0.80117 0.78163 0.12814 0.69638 0.00106817 0.091340
2454126 2007/01/25 Thu 651.75 13.3800 0.0 0.84868 1.2979 0.0082662 1.9705 0.80387 0.77748 0.12810 0.69973 0.00106849 0.090978
2454127 2007/01/26 Fri 645.50 13.2200 0.0 0.84760 1.2910 0.0082277 1.9597 0.79776 0.77234 0.12805 0.69503 0.00106289 0.090524
2454130 2007/01/29 Mon 644.75 13.2500 0.0 0.84631 1.2947 0.0082092 1.9590 0.79816 0.77251 0.12801 0.69719 0.00106297 0.090132
2454131 2007/01/30 Tue 645.20 13.1500 0.0 0.84645 1.2953 0.0082148 1.9616 0.79795 0.77230 0.12804 0.68893 0.00106061 0.090486
2454132 2007/01/31 Wed 650.50 13.3600 0.0 0.84803 1.2999 0.0082624 1.9609 0.80190 0.77392 0.12807 0.68538 0.00106174 0.090570
2454133 2007/02/01 Thu 660.20 13.5800 0.0 0.85070 1.3021 0.0082867 1.9685 0.80459 0.77448 0.12813 0.68141 0.00106763 0.091025
2454134 2007/02/02 Fri 645.70 13.6600 0.0 0.84474 1.2959 0.0082624 1.9664 0.80149 0.77463 0.12809 0.67968 0.00106690 0.090894
2454137 2007/02/05 Mon 649.40 13.2900 0.0 0.84617 1.2932 0.0083094 1.9600 0.80115 0.77686 0.12805 0.68353 0.00106871 0.091471
2454138 2007/02/06 Tue 653.25 13.6600 0.0 0.84602 1.2969 0.0083088 1.9693 0.80541 0.77682 0.12805 0.67978 0.00107191 0.091540
2454139 2007/02/07 Wed 653.75 13.6500 0.0 0.84374 1.3020 0.0082880 1.9699 0.80653 0.77852 0.12799 0.68503 0.00107155 0.091377
2454140 2007/02/08 Thu 656.00 13.5300 0.0 0.84367 1.3035 0.0082511 1.9586 0.80174 0.78115 0.12797 0.68632 0.00106977 0.091201
2454141 2007/02/09 Fri 664.50 13.8400 0.0 0.85186 1.3004 0.0082239 1.9506 0.80075 0.77647 0.12799 0.68353 0.00106994 0.091234
2454144 2007/02/12 Mon 664.55 13.7800 0.0 0.85135 1.2963 0.0082113 1.9473 0.79789 0.77260 0.12797 0.68534 0.00106675 0.090839
2454145 2007/02/13 Tue 667.80 13.7900 0.0 0.85572 1.3022 0.0082483 1.9443 0.80070 0.77734 0.12797 0.68877 0.00106452 0.090964
2454146 2007/02/14 Wed 668.25 13.9600 0.0 0.85763 1.3125 0.0082779 1.9626 0.80652 0.78336 0.12798 0.69442 0.00106518 0.091595
2454147 2007/02/15 Thu 664.75 13.9800 0.0 0.85918 1.3139 0.0083693 1.9529 0.80883 0.78452 0.12806 0.69387 0.00106968 0.091331
2454148 2007/02/16 Fri 665.10 13.9000 0.0 0.85933 1.3136 0.0083861 1.9498 0.81026 0.78680 0.12800 0.69752 0.00106815 0.091003
2454151 2007/02/19 Mon 670.75 14.0300 0.0 0.85918 1.3145 0.0083598 1.9501 0.81081 0.78623 0.12798 0.70169 0.00106796 0.091073
2454152 2007/02/20 Tue 663.90 13.9000 0.0 0.85485 1.3134 0.0083262 1.9548 0.80834 0.78509 0.12797 0.70038 0.00106599 0.091127
2454153 2007/02/21 Wed 661.25 13.7400 0.0 0.86118 1.3124 0.0082639 1.9522 0.80684 0.78979 0.12799 0.70608 0.00106528 0.091026
2454154 2007/02/22 Thu 676.60 14.2500 0.0 0.86088 1.3134 0.0082429 1.9570 0.80742 0.78952 0.12802 0.70540 0.00106491 0.091081
2454155 2007/02/23 Fri 683.00 14.2800 1234.00 0.86318 1.3164 0.0082581 1.9638 0.81096 0.79188 0.12806 0.70669 0.00106603 0.090634
2454158 2007/02/26 Mon 685.75 14.5800 1236.00 0.86207 1.3158 0.0082802 1.9630 0.81112 0.79319 0.12799 0.70991 0.00106552 0.090345
2454159 2007/02/27 Tue 676.20 14.4900 1236.00 0.85918 1.3244 0.0084260 1.9661 0.81923 0.79319 0.12798 0.70478 0.00106538 0.089698
2454160 2007/02/28 Wed 664.20 14.3100 1239.00 0.85470 1.3230 0.0084504 1.9612 0.82042 0.78915 0.12801 0.70103 0.00106154 0.089658
2454161 2007/03/01 Thu 670.40 14.2900 1248.00 0.85375 1.3173 0.0085094 1.9579 0.81781 0.78622 0.12801 0.69444 0.00106207 0.089388
2454162 2007/03/02 Fri 651.90 13.5300 1203.00 0.85085 1.3181 0.0085587 1.9456 0.82141 0.78337 0.12796 0.68876 0.00106016 0.089424
2454165 2007/03/05 Mon 636.75 13.5300 1203.00 0.84667 1.3094 0.0086191 1.9234 0.81839 0.77275 0.12796 0.67827 0.00105071 0.089493
2454166 2007/03/06 Tue 643.75 12.9350 1190.00 0.85034 1.3107 0.0085825 1.9269 0.81683 0.77364 0.12795 0.68053 0.00105527 0.089711
2454167 2007/03/07 Wed 646.40 12.8900 1186.00 0.84846 1.3147 0.0085890 1.9313 0.81902 0.77643 0.12791 0.68378 0.00105379 0.089598
2454168 2007/03/08 Thu 654.25 13.0900 1195.00 0.84739 1.3130 0.0085222 1.9299 0.81375 0.77578 0.12799 0.68469 0.00105500 0.089738
2454169 2007/03/09 Fri 652.25 13.0700 1203.00 0.85382 1.3118 0.0084631 1.9318 0.81070 0.78057 0.12797 0.69143 0.00105704 0.089908
2454172 2007/03/12 Mon 647.75 12.9700 1203.00 0.85529 1.3187 0.0085092 1.9293 0.81628 0.78353 0.12797 0.69304 0.00105884 0.089634
2454173 2007/03/13 Tue 650.80 12.9200 1220.00 0.85565 1.3199 0.0085522 1.9319 0.81834 0.78712 0.12796 0.69744 0.00105844 0.089587
2454174 2007/03/14 Wed 643.25 12.6500 1203.00 0.85077 1.3224 0.0085928 1.9337 0.82372 0.78577 0.12795 0.69032 0.00105666 0.089416
2454175 2007/03/15 Thu 648.50 12.9000 1215.00 0.85049 1.3247 0.0085304 1.9366 0.82344 0.78831 0.12801 0.69493 0.00105800 0.089726
2454176 2007/03/16 Fri 653.20 13.0700 1219.00 0.85179 1.3307 0.0085605 1.9421 0.82786 0.79480 0.12802 0.69770 0.00105877 0.089608
2454179 2007/03/19 Mon 655.00 13.1600 1226.00 0.85092 1.3298 0.0085092 1.9461 0.82471 0.79944 0.12800 0.70201 0.00105939 0.089687
2454180 2007/03/20 Tue 659.00 13.2500 1231.00 0.85918 1.3290 0.0085222 1.9579 0.82378 0.80153 0.12800 0.70418 0.00106195 0.090042
2454181 2007/03/21 Wed 658.75 13.3300 1232.00 0.86371 1.3305 0.0084868 1.9596 0.82285 0.80126 0.12803 0.70461 0.00106581 0.090257
2454182 2007/03/22 Thu 663.00 13.3750 1236.00 0.86386 1.3358 0.0084926 1.9672 0.82542 0.80831 0.12805 0.71432 0.00106686 0.090791
2454183 2007/03/23 Fri 656.25 13.3700 1232.00 0.86207 1.3303 0.0084862 1.9628 0.82155 0.80629 0.12802 0.71233 0.00106638 0.090776
2454186 2007/03/26 Mon 663.00 13.2600 1237.00 0.86007 1.3335 0.0084854 1.9692 0.82342 0.80950 0.12799 0.71601 0.00106648 0.090651
2454187 2007/03/27 Tue 664.00 13.3400 1239.00 0.86326 1.3356 0.0084885 1.9663 0.82424 0.80887 0.12799 0.71823 0.00106267 0.090470
2454188 2007/03/28 Wed 666.75 13.3600 1246.00 0.86356 1.3332 0.0085604 1.9609 0.82297 0.80639 0.12797 0.71071 0.00106477 0.090155
2454189 2007/03/29 Thu 661.00 13.3400 1241.00 0.86371 1.3336 0.0084919 1.9626 0.82199 0.80774 0.12799 0.71437 0.00106322 0.090430
2454190 2007/03/30 Fri 661.75 13.3500 1244.00 0.86738 1.3373 0.0085055 1.9687 0.82470 0.81039 0.12798 0.71568 0.00106254 0.090554
2454193 2007/04/02 Mon 658.25 13.3350 1235.00 0.86498 1.3373 0.0084958 1.9785 0.82372 0.81662 0.12795 0.72139 0.00106738 0.090650
2454194 2007/04/03 Tue 664.25 13.2800 1245.00 0.86408 1.3364 0.0084145 1.9780 0.82027 0.81301 0.12795 0.72056 0.00106800 0.091074
2454195 2007/04/04 Wed 672.25 13.4500 1248.00 0.86326 1.3363 0.0084237 1.9752 0.82001 0.81785 0.12793 0.72056 0.00106785 0.090901
2454196 2007/04/05 Thu 673.50 13.5800 1251.00 0.86889 1.3425 0.0084282 1.9707 0.82335 0.81919 0.12793 0.72282 0.00107220 0.090972
2454200 2007/04/09 Mon 0.0 0.0 0.0 0.86791 1.3366 0.0083831 1.9608 0.81627 0.81661 0.12791 0.72010 0.00107186 0.091130
2454201 2007/04/10 Tue 677.40 13.8400 1262.00 0.87108 1.3438 0.0083989 1.9718 0.82212 0.82509 0.12799 0.72883 0.00107056 0.090767
2454202 2007/04/11 Wed 678.20 13.9200 1265.00 0.87336 1.3436 0.0083773 1.9786 0.82000 0.82594 0.12799 0.72812 0.00107249 0.091004
2454203 2007/04/12 Thu 677.25 13.8400 1265.00 0.88005 1.3484 0.0084027 1.9768 0.82258 0.82751 0.12797 0.72868 0.00107366 0.090821
2454204 2007/04/13 Fri 681.75 13.8800 1266.00 0.87874 1.3518 0.0083849 1.9828 0.82267 0.83251 0.12800 0.73744 0.00107645 0.090949
2454207 2007/04/16 Mon 686.50 14.0900 1276.00 0.88417 1.3549 0.0083439 1.9905 0.82413 0.83263 0.12798 0.74076 0.00107604 0.090981
2454208 2007/04/17 Tue 688.00 13.9600 1270.00 0.88543 1.3568 0.0084062 2.0060 0.82699 0.83664 0.12801 0.74429 0.00107579 0.091022
2454209 2007/04/18 Wed 688.75 13.9600 1281.00 0.88590 1.3573 0.0084550 2.0041 0.82947 0.83531 0.12804 0.74309 0.00107725 0.090982
2454210 2007/04/19 Thu 681.90 13.8350 1292.00 0.88605 1.3605 0.0084476 2.0027 0.83014 0.83537 0.12798 0.74366 0.00107656 0.090909
2454211 2007/04/20 Fri 691.40 13.8700 1317.00 0.89071 1.3601 0.0084154 2.0045 0.82774 0.83620 0.12798 0.74615 0.00107776 0.091031
