Jul.Day YYYY/MM/DD Wdy USD/CAD USD/EUR USD/GBP USD/AUD USD/NZD USD/CHF
2454774 2008/11/03 Mon 0.84210 1.2718 1.5853 0.68219 0.59714 0.85592
2454775 2008/11/04 Tue 0.86964 1.3020 1.6093 0.70032 0.61188 0.85999
2454776 2008/11/05 Wed 0.86237 1.3040 1.6153 0.69696 0.60693 0.86159
2454777 2008/11/06 Thu 0.84617 1.2755 1.5797 0.67871 0.59502 0.85133
2454778 2008/11/07 Fri 0.84495 1.2775 1.5786 0.67258 0.58944 0.85011
2454781 2008/11/10 Mon 0.83738 1.2760 1.5636 0.67535 0.58684 0.84843
2454783 2008/11/12 Wed 0.81334 1.2555 1.5009 0.64416 0.56380 0.84758
2454784 2008/11/13 Thu 0.81202 1.2525 1.4798 0.64003 0.55599 0.83362
2454785 2008/11/14 Fri 0.81653 1.2730 1.4859 0.66245 0.56202 0.84241
2454788 2008/11/17 Mon 0.81893 1.2726 1.5028 0.65613 0.55982 0.83646
2454789 2008/11/18 Tue 0.81706 1.2688 1.5040 0.65732 0.55462 0.83495
2454790 2008/11/19 Wed 0.80841 1.2597 1.5091 0.65012 0.55028 0.82611
2454791 2008/11/20 Thu 0.77791 1.2523 1.4790 0.61898 0.53077 0.81976
2454792 2008/11/21 Fri 0.77797 1.2528 1.4822 0.62533 0.53096 0.81726
2454795 2008/11/24 Mon 0.81633 1.2890 1.5175 0.65012 0.54702 0.83543
2454796 2008/11/25 Tue 0.81907 1.3030 1.5348 0.64878 0.54648 0.84307
2454797 2008/11/26 Wed 0.81024 1.2824 1.5220 0.64673 0.54902 0.82871
2454798 2008/11/27 Thu 0.81110 1.2891 1.5381 0.66015 0.55430 0.83316
2454799 2008/11/28 Fri 0.80828 1.2695 1.5346 0.65438 0.54963 0.82169
2454802 2008/12/01 Mon 0.80795 1.2633 1.4841 0.64442 0.53519 0.82807
2454803 2008/12/02 Tue 0.80509 1.2725 1.4947 0.64415 0.53144 0.82916
2454804 2008/12/03 Wed 0.79536 1.2671 1.4778 0.64805 0.53352 0.82359
2454805 2008/12/04 Thu 0.79745 1.2839 1.4789 0.65263 0.53844 0.83533
2454806 2008/12/05 Fri 0.77107 1.2653 1.4606 0.63428 0.52471 0.81703
2454809 2008/12/08 Mon 0.79542 1.2938 1.4831 0.66402 0.54439 0.83073
2454810 2008/12/09 Tue 0.79346 1.2938 1.4775 0.65992 0.54312 0.82901
2454811 2008/12/10 Wed 0.79637 1.3022 1.4828 0.66139 0.54766 0.83667
2454812 2008/12/11 Thu 0.82082 1.3294 1.4952 0.67775 0.55536 0.84232
2454813 2008/12/12 Fri 0.80308 1.3349 1.4872 0.65765 0.54457 0.84766
2454816 2008/12/15 Mon 0.80958 1.3662 1.5274 0.67123 0.55529 0.86278
2454817 2008/12/16 Tue 0.81706 1.3809 1.5316 0.67734 0.56492 0.87662
2454818 2008/12/17 Wed 0.82932 1.4352 1.5458 0.69622 0.58865 0.92121
2454819 2008/12/18 Thu 0.83577 1.4295 1.5100 0.69837 0.59331 0.92787
2454820 2008/12/19 Fri 0.81466 1.3868 1.4851 0.68033 0.57507 0.89963
2454823 2008/12/22 Mon 0.82048 1.3952 1.4804 0.68288 0.57409 0.91328
2454824 2008/12/23 Tue 0.82196 1.3964 1.4758 0.68034 0.56674 0.92101
2454825 2008/12/24 Wed 0.82474 1.3963 1.4671 0.68231 0.57418 0.92668
2454830 2008/12/29 Mon 0.82190 1.4232 1.4590 0.69475 0.58198 0.95997
2454831 2008/12/30 Tue 0.81853 1.4085 1.4395 0.69051 0.57665 0.94622
2454832 2008/12/31 Wed 0.81659 1.3920 1.4614 0.69819 0.58133 0.93680
2454834 2009/01/02 Fri 0.82597 1.3945 1.4521 0.70827 0.58479 0.93582
2454837 2009/01/05 Mon 0.83935 1.3576 1.4604 0.71479 0.58738 0.90264
2454838 2009/01/06 Tue 0.84581 1.3443 1.4777 0.71885 0.59427 0.89174
2454839 2009/01/07 Wed 0.84367 1.3717 1.5252 0.72117 0.60027 0.91369
2454840 2009/01/08 Thu 0.84118 1.3712 1.5188 0.70693 0.59253 0.91521
2454841 2009/01/09 Fri 0.83871 1.3493 1.5236 0.70603 0.59314 0.90112
2454844 2009/01/12 Mon 0.82802 1.3347 1.4825 0.68121 0.57837 0.89766
2454845 2009/01/13 Tue 0.81586 1.3196 1.4523 0.66721 0.55201 0.89182
2454846 2009/01/14 Wed 0.80756 1.3174 1.4614 0.66397 0.54284 0.89453
2454847 2009/01/15 Thu 0.79208 1.3093 1.4599 0.65576 0.53069 0.89014
2454848 2009/01/16 Fri 0.79732 1.3241 1.4735 0.66560 0.54138 0.89451
2454851 2009/01/19 Mon 0.79866 1.3149 1.4517 0.66976 0.54452 0.88483
2454852 2009/01/20 Tue 0.79334 1.2945 1.4022 0.65712 0.52717 0.87457
2454853 2009/01/21 Wed 0.78487 1.2868 1.3726 0.64917 0.52123 0.87136
2454854 2009/01/22 Thu 0.79177 1.2954 1.3839 0.65376 0.52637 0.86659
2454855 2009/01/23 Fri 0.80128 1.2850 1.3648 0.65176 0.52668 0.85986
2454858 2009/01/26 Mon 0.81934 1.3154 1.3958 0.66096 0.53027 0.87415
2454859 2009/01/27 Tue 0.81307 1.3157 1.4146 0.66013 0.52809 0.87796
2454860 2009/01/28 Wed 0.82658 1.3243 1.4315 0.66978 0.53439 0.87395
2454861 2009/01/29 Thu 0.82048 1.2987 1.4260 0.65482 0.51584 0.86930
2454862 2009/01/30 Fri 0.80880 1.2803 1.4411 0.63774 0.50825 0.86081
2454865 2009/02/02 Mon 0.80619 1.2806 1.4226 0.63189 0.50218 0.85900
2454866 2009/02/03 Tue 0.81057 1.3009 1.4390 0.64732 0.51107 0.87566
2454867 2009/02/04 Wed 0.81526 1.2856 1.4471 0.64984 0.51158 0.86344
2454868 2009/02/05 Thu 0.81281 1.2837 1.4629 0.65374 0.51532 0.85784
2454869 2009/02/06 Fri 0.80717 1.2873 1.4774 0.67124 0.52983 0.85503
2454872 2009/02/09 Mon 0.82021 1.3063 1.4933 0.68316 0.54413 0.86442
