Jul.Day YYYY/MM/DD Wdy XAU/USD XAG/USD XPT/USD CAD/USD EUR/USD JPY/USD GBP/USD CHF/USD AUD/USD HKD/USD NZD/USD KRW/USD MXN/USD
2454834 2009/01/02 Fri 0.0011435 0.090253 0.00107991 1.2107 0.71711 91.167 0.68864 1.0686 1.4119 7.7507 1.7100 1321.7 13.786
2454837 2009/01/05 Mon 0.0011716 0.090334 0.00108696 1.1914 0.73657 93.224 0.68475 1.1079 1.3990 7.7524 1.7025 1315.0 13.534
2454838 2009/01/06 Tue 0.0011789 0.092166 0.00118483 1.1823 0.74387 94.207 0.67672 1.1214 1.3911 7.7537 1.6827 1312.2 13.332
2454839 2009/01/07 Wed 0.0011786 0.087642 0.00100000 1.1853 0.72901 92.674 0.65566 1.0945 1.3866 7.7512 1.6659 1292.6 13.402
2454840 2009/01/08 Thu 0.0011686 0.091912 0.00101317 1.1888 0.72928 91.166 0.65843 1.0926 1.4146 7.7554 1.6877 1329.8 13.497
2454841 2009/01/09 Fri 0.0011803 0.089127 0.00101215 1.1923 0.74111 90.257 0.65634 1.1097 1.4164 7.7573 1.6859 1348.8 13.716
2454844 2009/01/12 Mon 0.0012092 0.090171 0.00103734 1.2077 0.74924 88.932 0.67454 1.1140 1.4680 7.7550 1.7290 1353.9 13.772
2454845 2009/01/13 Tue 0.0012099 0.094162 0.00107411 1.2257 0.75782 89.598 0.68856 1.1213 1.4988 7.7545 1.8116 1354.4 13.845
2454846 2009/01/14 Wed 0.0012173 0.092851 0.00106952 1.2383 0.75909 89.279 0.68426 1.1179 1.5061 7.7570 1.8422 1353.3 14.083
2454847 2009/01/15 Thu 0.0012346 0.095147 0.00108932 1.2625 0.76376 89.603 0.68499 1.1234 1.5249 7.7617 1.8843 1393.5 14.161
2454848 2009/01/16 Fri 0.0011994 0.092764 0.00106044 1.2542 0.75522 90.295 0.67864 1.1179 1.5024 7.7599 1.8471 1353.0 13.932
2454851 2009/01/19 Mon 0.0012005 0.089606 0.00104822 1.2521 0.76051 90.404 0.68884 1.1302 1.4931 7.7588 1.8365 1361.0 13.970
2454852 2009/01/20 Tue 0.0011720 0.088339 0.00105597 1.2605 0.77251 90.229 0.71315 1.1434 1.5218 7.7586 1.8969 1352.5 13.925
2454853 2009/01/21 Wed 0.0011775 0.088183 0.00107875 1.2741 0.77713 87.808 0.72856 1.1476 1.5404 7.7595 1.9185 1370.0 13.931
2454854 2009/01/22 Thu 0.0011628 0.088339 0.00107527 1.2630 0.77196 88.631 0.72258 1.1540 1.5296 7.7590 1.8998 1374.3 13.974
2454855 2009/01/23 Fri 0.0011419 0.087260 0.00107759 1.2480 0.77820 88.763 0.73270 1.1630 1.5343 7.7569 1.8987 1391.3 14.071
2454858 2009/01/26 Mon 0.0010986 0.082645 0.00105042 1.2205 0.76025 89.218 0.71642 1.1440 1.5130 7.7569 1.8858 1391.7 13.949
2454859 2009/01/27 Tue 0.0011142 0.083963 0.00105485 1.2299 0.76004 88.994 0.70692 1.1390 1.5148 7.7599 1.8936 1391.3 14.186
