Jul.Day YYYY/MM/DD Wdy USD/CAD USD/EUR USD/GBP USD/JPY
2454834 2009/01/02 Fri 0.82597 1.3945 1.4521 0.010969
2454837 2009/01/05 Mon 0.83935 1.3576 1.4604 0.010727
2454838 2009/01/06 Tue 0.84581 1.3443 1.4777 0.010615
2454839 2009/01/07 Wed 0.84367 1.3717 1.5252 0.010791
2454840 2009/01/08 Thu 0.84118 1.3712 1.5188 0.010969
2454841 2009/01/09 Fri 0.83871 1.3493 1.5236 0.011079
2454844 2009/01/12 Mon 0.82802 1.3347 1.4825 0.011245
2454845 2009/01/13 Tue 0.81586 1.3196 1.4523 0.011161
2454846 2009/01/14 Wed 0.80756 1.3174 1.4614 0.011201
2454847 2009/01/15 Thu 0.79208 1.3093 1.4599 0.011160
2454848 2009/01/16 Fri 0.79732 1.3241 1.4735 0.011075
2454851 2009/01/19 Mon 0.79866 1.3149 1.4517 0.011061
2454852 2009/01/20 Tue 0.79334 1.2945 1.4022 0.011083
2454853 2009/01/21 Wed 0.78487 1.2868 1.3726 0.011388
2454854 2009/01/22 Thu 0.79177 1.2954 1.3839 0.011283
2454855 2009/01/23 Fri 0.80128 1.2850 1.3648 0.011266
2454858 2009/01/26 Mon 0.81934 1.3154 1.3958 0.011209
2454859 2009/01/27 Tue 0.81307 1.3157 1.4146 0.011237
2454860 2009/01/28 Wed 0.82658 1.3243 1.4315 0.011126
2454861 2009/01/29 Thu 0.82048 1.2987 1.4260 0.011142
2454862 2009/01/30 Fri 0.80880 1.2803 1.4411 0.011129
2454865 2009/02/02 Mon 0.80619 1.2806 1.4226 0.011125
2454866 2009/02/03 Tue 0.81057 1.3009 1.4390 0.011218
2454867 2009/02/04 Wed 0.81526 1.2856 1.4471 0.011169
2454868 2009/02/05 Thu 0.81281 1.2837 1.4629 0.010989
2454869 2009/02/06 Fri 0.80717 1.2873 1.4774 0.010873
2454872 2009/02/09 Mon 0.82021 1.3063 1.4933 0.010933
2454873 2009/02/10 Tue 0.81090 1.2965 1.4603 0.011028
2454874 2009/02/11 Wed 0.80489 1.2893 1.4365 0.011027
2454875 2009/02/12 Thu 0.80148 1.2821 1.4246 0.011044
2454876 2009/02/13 Fri 0.80431 1.2877 1.4421 0.010890
2454879 2009/02/16 Mon 0.80405 1.2769 1.4267 0.010895
2454880 2009/02/17 Tue 0.79359 1.2569 1.4223 0.010848
2454881 2009/02/18 Wed 0.79390 1.2547 1.4232 0.010662
2454882 2009/02/19 Thu 0.79397 1.2674 1.4310 0.010623
2454883 2009/02/20 Fri 0.79739 1.2689 1.4331 0.010653
2454886 2009/02/23 Mon 0.79923 1.2745 1.4549 0.010566
2454887 2009/02/24 Tue 0.80192 1.2741 1.4407 0.010353
2454888 2009/02/25 Wed 0.79643 1.2730 1.4263 0.010274
2454889 2009/02/26 Thu 0.80283 1.2764 1.4339 0.010148
2454890 2009/02/27 Fri 0.78697 1.2661 1.4277 0.010231
2454893 2009/03/02 Mon 0.77580 1.2579 1.3987 0.010287
2454894 2009/03/03 Tue 0.77292 1.2548 1.4029 0.010187
2454895 2009/03/04 Wed 0.78339 1.2606 1.4141 0.010067
2454896 2009/03/05 Thu 0.77658 1.2565 1.4121 0.010165
2454897 2009/03/06 Fri 0.77742 1.2672 1.4107 0.010215
